















Bisharp, Meowstic, Conkeldurr, Primarina, Dragapult, Dusclops
Tyranitar, Braviary, Dusclops, Primarina, Goodra, Arcanine
Venusaur, Conkeldurr, Stunfisk, Charizard, Sableye, Togekiss
Tyranitar, Torracat, Gastrodon, Bronzong, Venusaur, Togekiss
Gastrodon, Goodra, Sandaconda, Vanilluxe, Arcanine, Togekiss
Klinklang, Arcanine, Malamar, Charizard, Whimsicott, Dragapult
Mimikyu, Dragapult, Arcanine, Ferrothorn, Dusclops, Primarina
Dragapult, Clefairy, Milotic, Incineroar, Ferrothorn, Togekiss
Arcanine, Durant, Gothitelle, Conkeldurr, Darmanitan-Galar, Sylveon
Excadrill, Hitmontop, Tyranitar, Alcremie, Milotic, Heliolisk
Pikachu, Primarina, Coalossal, Bisharp, Whimsicott, Conkeldurr
Vespiquen, Togekiss, Dusclops, Hatterene, Rotom-Wash, Appletun
Milotic, Dusclops, Ferrothorn, Mimikyu, Dragapult, Arcanine
Braviary, Raichu, Conkeldurr, Incineroar, Togekiss, Lapras
Venusaur, Conkeldurr, Stunfisk, Charizard, Sableye, Togekiss
Tyranitar, Torracat, Gastrodon, Bronzong, Venusaur, Togekiss
Gyarados, Milotic, Pikachu, Whimsicott, Incineroar, Duraludon
Wailord, Sableye, Pikachu, Weezing-Galar, Durant, Togekiss
Dragapult, Mimikyu, Bisharp, Sirfetch'd, Dracovish, Sylveon
Excadrill, Tyranitar, Togekiss, Arcanine, Rotom-Wash, Tsareena
Mimikyu, Coalossal, Primarina, Whimsicott, Mantine, Sirfetch'd
Whimsicott, Duraludon, Arcanine, Primarina, Rotom-Mow, Tyranitar
Whimsicott, Tyranitar, Excadrill, Togekiss, Rotom-Wash, Conkeldurr
Lapras, Dusclops, Conkeldurr, Tyranitar, Mimikyu, Arcanine
Excadrill, Dusclops, Tyranitar, Milotic, Indeedee-F, Gigalith
Indeedee, Milotic, Hatterene, Incineroar, Dusclops, Mudsdale
Charizard, Diggersby, Milotic, Torkoal, Venusaur, Dusclops
Indeedee, Conkeldurr, Dragapult, Arcanine, Raichu, Venusaur
Coalossal, Dragapult, Gastrodon, Raichu, Corviknight, Primarina
Charizard, Diggersby, Milotic, Torkoal, Venusaur, Dusclops
Incineroar, Milotic, Conkeldurr, Togekiss, Tyranitar, Gyarados
Togekiss, Tyranitar, Arcanine, Milotic, Raichu, Dusclops
Dragapult, Clefairy, Rotom-Wash, Excadrill, Togekiss, Incineroar
Whimsicott, Lapras, Dracovish, Sylveon, Dusclops, Weezing-Galar
Dragapult, Clefairy, Rotom-Wash, Excadrill, Togekiss, Incineroar
Whimsicott, Lapras, Dracovish, Sylveon, Dusclops, Weezing-Galar
Dragapult, Mimikyu, Primarina, Tyranitar, Dusclops, Ferrothorn
Charizard, Torkoal, Dusclops, Venusaur, Indeedee-F, Rhyperior
Rotom-Mow, Beartic, Togekiss, Pelipper, Escavalier, Drednaw
Dragapult, Darmanitan-Galar, Drifloon, Clefable, Indeedee-F, Sylveon
Dragapult, Corviknight, Lapras, Incineroar, Whimsicott, Weezing-Galar
Venusaur, Espeon, Charizard, Excadrill, Ninetales, Sableye
Whimsicott, Snorlax, Dracovish, Indeedee-F, Dusclops, Duraludon
Duraludon, Conkeldurr, Braviary, Sylveon, Inteleon, Whimsicott
Mantine, Raichu, Pelipper, Ferrothorn, Dracovish, Mimikyu
Sableye, Dragapult, Charizard, Milotic, Rhydon, Whimsicott
Coalossal, Dragapult, Gastrodon, Raichu, Corviknight, Primarina
Venusaur, Espeon, Charizard, Excadrill, Ninetales, Sableye
Scrafty, Sylveon, Rhyperior, Ribombee, Chandelure, Whimsicott
Venusaur, Espeon, Charizard, Excadrill, Ninetales, Sableye
Togekiss, Dusclops, Aegislash, Dragapult, Incineroar, Lapras
Ninetales, Charizard, Whimsicott, Dracozolt, Venusaur, Barraskewda
Gyarados, Whimsicott, Hydreigon, Grimmsnarl, Charizard, Togedemaru
Tsareena, Braviary, Gothitelle, Dracovish, Sylveon, Duraludon
Incineroar, Togekiss, Dracovish, Roserade, Excadrill, Primarina
Venusaur, Darmanitan-Galar, Indeedee-F, Torkoal, Primarina, Conkeldurr
Duraludon, Conkeldurr, Braviary, Sylveon, Inteleon, Whimsicott
Whimsicott, Durant, Primarina, Rotom-Mow, Braviary, Coalossal
Duraludon, Whimsicott, Gastrodon, Conkeldurr, Chandelure, Goodra
Goodra, Mudsdale, Gothitelle, Mimikyu, Milotic, Togekiss
Venusaur, Braviary, Rotom-Wash, Sableye, Mimikyu, Ninetales
Venusaur, Espeon, Charizard, Excadrill, Ninetales, Sableye
Raichu, Lapras, Conkeldurr, Dusclops, Arcanine, Togekiss
Dragapult, Clefairy, Tyranitar, Rotom-Wash, Arcanine, Excadrill
Whimsicott, Arcanine, Tyranitar, Sylveon, Dracozolt, Milotic
Primarina, Arcanine, Ferrothorn, Dusclops, Raichu, Dragapult
Togekiss, Mawile, Dragapult, Excadrill, Tyranitar, Roserade
Rotom-Wash, Chandelure, Stunfisk-Galar, Malamar, Ferrothorn, Togekiss
Dragapult, Togekiss, Rotom-Wash, Excadrill, Whimsicott, Incineroar
Lapras, Sableye, Dusclops, Conkeldurr, Primarina, Excadrill
Arcanine, Durant, Gothitelle, Conkeldurr, Darmanitan-Galar, Sylveon
Dusclops, Hatterene, Rhyperior, Gastrodon-East, Scrafty, Ferrothorn
Tyranitar, Indeedee-F, Excadrill, Flapple, Chandelure, Milotic
Bronzong, Aegislash, Hatterene, Dusclops, Frosmoth, Escavalier
Coalossal, Dragapult, Tsareena, Primarina, Togekiss, Corviknight
Klinklang, Incineroar, Flygon, Whimsicott, Milotic, Toxtricity
Togekiss, Excadrill, Charizard, Inteleon, Conkeldurr, Gengar
Togekiss, Dusclops, Aegislash, Dragapult, Incineroar, Lapras
Goodra, Oranguru, Excadrill, Gigalith, Rotom-Wash, Togekiss
Grimmsnarl, Durant, Arcanine, Vanilluxe, Milotic, Togekiss
Mantine, Raichu, Pelipper, Ferrothorn, Dracovish, Mimikyu
Pumpkaboo-*, Falinks, Dragapult, Lapras, Copperajah, Noivern
Raichu, Lapras, Conkeldurr, Dusclops, Arcanine, Togekiss
Gothitelle, Durant, Tyranitar, Sylveon, Gastrodon, Darmanitan-Galar
Arcanine, Indeedee-F, Tyranitar, Excadrill, Rotom-Wash, Braviary
Rotom-Wash, Incineroar, Grimmsnarl, Dragapult, Excadrill, Passimian
Togekiss, Dusclops, Aegislash, Dragapult, Incineroar, Lapras
Grimmsnarl, Avalugg, Glaceon, Sylveon, Jellicent, Excadrill
Mamoswine, Whimsicott, Duraludon, Rotom-Wash, Incineroar, Mimikyu
Rotom-Wash, Incineroar, Grimmsnarl, Dragapult, Excadrill, Passimian
Lapras, Alcremie, Incineroar, Togekiss, Excadrill, Conkeldurr
Whimsicott, Dragapult, Excadrill, Tyranitar, Sylveon, Dracovish
Dracovish, Dusclops, Indeedee-F, Grimmsnarl, Rotom-Heat, Excadrill
Duraludon, Whimsicott, Gastrodon, Conkeldurr, Chandelure, Goodra
Pikachu, Persian-Alola, Togetic, Torkoal, Venusaur, Charizard
Gothitelle, Chandelure, Passimian, Togekiss, Rotom-Wash, Mimikyu
Mantine, Raichu, Pelipper, Ferrothorn, Dracovish, Mimikyu
Dusclops, Primarina, Raichu, Excadrill, Ferrothorn
Conkeldurr, Togekiss, Gastrodon-East, Dragapult, Bisharp, Coalossal
Whimsicott, Dracozolt, Sylveon, Grimmsnarl, Indeedee, Darmanitan-Galar
Mamoswine, Whimsicott, Duraludon, Rotom-Wash, Incineroar, Mimikyu
Duraludon, Whimsicott, Gastrodon, Conkeldurr, Chandelure, Goodra
Primarina, Excadrill, Tyranitar, Dusclops, Rillaboom, Indeedee-F
Weezing-Galar, Milotic, Togekiss, Raichu, Dragapult, Arcanine
Lucario, Togekiss, Rotom-Heat, Dragapult, Drapion, Gothitelle
Torkoal, Indeedee-F, Venusaur, Flapple, Chandelure, Primarina
Togekiss, Vileplume, Torkoal, Whimsicott, Milotic, Excadrill
Conkeldurr, Venusaur, Torkoal, Dusclops, Rhyperior, Hydreigon
Centiskorch, Hitmontop, Togekiss, Rotom-Wash, Dusclops, Rhyperior
Torkoal, Charizard, Togekiss, Passimian, Dracozolt, Primarina
Torkoal, Venusaur, Dusclops, Indeedee-F, Rhyperior, Hatterene
Grimmsnarl, Hitmontop, Arcanine, Rotom-Wash, Ferrothorn, Sylveon
Grimmsnarl, Hitmontop, Arcanine, Rotom-Wash, Ferrothorn, Sylveon
Torkoal, Venusaur, Dusclops, Indeedee-F, Rhyperior, Hatterene
Dragapult, Whimsicott, Arcanine, Dusclops, Conkeldurr, Lapras
Duraludon, Whimsicott, Gastrodon, Conkeldurr, Chandelure, Goodra
Ludicolo, Tsareena, Roserade, Ferrothorn, Venusaur, Shiinotic
Ludicolo, Toxtricity, Weezing-Galar, Runerigus, Durant, Sigilyph
Whimsicott, Duraludon, Incineroar, Milotic, Charizard, Conkeldurr
Conkeldurr, Venusaur, Dusclops, Lapras, Indeedee-F, Snorlax
Whimsicott, Dusclops, Hydreigon, Chandelure, Togekiss, Venusaur
Charizard, Clefairy, Hitmontop, Excadrill, Whimsicott, Togekiss
Indeedee-F, Butterfree, Dragapult, Togekiss, Hitmontop, Milotic
Rotom-Wash, Togekiss, Incineroar, Excadrill, Dragapult, Venusaur
Mantine, Raichu, Pelipper, Ferrothorn, Dracovish, Mimikyu
Gengar, Raichu, Cloyster, Gyarados, Charizard, Steelix
Charizard, Venusaur, Torkoal, Dusclops, Tyranitar, Corviknight
Dragapult, Clefairy, Ferrothorn, Incineroar, Milotic, Togekiss
Coalossal, Dragapult, Primarina, Dusclops, Ferrothorn, Hitmontop
Durant, Milotic, Gothitelle, Sylveon, Tyranitar, Arcanine
Whimsicott, Dragapult, Togekiss, Darmanitan-Galar, Rotom-Wash, Indeedee-F
Duraludon, Whimsicott, Gastrodon, Conkeldurr, Chandelure, Goodra
Conkeldurr, Dusclops, Coalossal, Gastrodon-East, Togekiss, Dragapult
Indeedee-F, Eiscue, Dracovish, Pelipper, Rotom-Wash, Sableye
Rotom-Wash, Togekiss, Incineroar, Excadrill, Dragapult, Venusaur
Indeedee-F, Butterfree, Dragapult, Togekiss, Hitmontop, Milotic
Charizard, Venusaur, Torkoal, Dusclops, Tyranitar, Corviknight
Dragapult, Clefairy, Ferrothorn, Incineroar, Milotic, Togekiss
Whimsicott, Dusclops, Hydreigon, Chandelure, Togekiss, Venusaur
Indeedee, Clefairy, Dragapult, Darmanitan-Galar, Whimsicott, Lapras
Lapras, Incineroar, Conkeldurr, Gothitelle, Togekiss, Bisharp
Charizard, Togekiss, Ferrothorn, Dragapult, Excadrill, Conkeldurr
Mantine, Grimmsnarl, Sableye, Excadrill, Pikachu, Toxicroak
Duraludon, Whimsicott, Gastrodon, Conkeldurr, Chandelure, Goodra
Whimsicott, Snorlax, Togekiss, Chandelure, Hitmontop, Coalossal
Drifblim, Milotic, Mimikyu, Excadrill, Arcanine, Ferrothorn
Bewear, Gothitelle, Incineroar, Primarina, Indeedee-F, Hawlucha
Rotom-Wash, Incineroar, Grimmsnarl, Dragapult, Excadrill, Passimian
Braviary, Raichu, Conkeldurr, Incineroar, Togekiss, Lapras
Dusclops, Mimikyu, Dragapult, Arcanine, Ferrothorn, Primarina
Raichu, Gyarados, Hitmontop, Arcanine, Umbreon, Weezing-Galar
Dusclops, Primarina, Raichu, Excadrill, Ferrothorn
Dragapult, Clefairy, Rotom-Wash, Incineroar, Excadrill, Togekiss
Lapras, Togekiss, Incineroar, Alcremie, Dusclops, Conkeldurr
Charizard, Torkoal, Rhyperior, Dusclops, Vileplume, Gothitelle
Clefable, Raichu, Excadrill, Venusaur, Primarina, Coalossal
Dragapult, Clefairy, Rotom-Wash, Incineroar, Excadrill, Togekiss
Lapras, Togekiss, Incineroar, Alcremie, Dusclops, Conkeldurr
Rotom-Wash, Incineroar, Grimmsnarl, Dragapult, Excadrill, Passimian
Togekiss, Diggersby, Lapras, Torracat, Raichu, Conkeldurr
Indeedee, Clefairy, Dragapult, Darmanitan-Galar, Whimsicott, Excadrill
Rhyperior, Venusaur, Charizard, Torkoal, Togekiss, Arcanine
Durant, Milotic, Chandelure, Conkeldurr, Whimsicott, Togekiss
Corviknight, Tyranitar, Arcanine, Gastrodon-East, Grimmsnarl, Sylveon
Whimsicott, Dracozolt, Duraludon, Arcanine, Milotic, Conkeldurr
Whimsicott, Dragapult, Dracovish, Dracozolt, Darmanitan-Galar, Duraludon
Lapras, Torkoal, Dusclops, Rhyperior, Indeedee-F, Hatterene
Primarina, Corviknight, Arcanine, Tyranitar, Mimikyu, Rillaboom
Tyranitar, Excadrill, Lapras, Conkeldurr, Gothitelle, Chandelure
Orbeetle, Dusclops, Dracozolt, Milotic, Clefable, Durant
Snorlax, Ferrothorn, Dusclops, Milotic, Rhyperior, Togekiss
Arcanine, Milotic, Torkoal, Venusaur, Chandelure, Clefable
Whimsicott, Snorlax, Togekiss, Chandelure, Hitmontop, Toxtricity
Dragapult, Mimikyu, Arcanine, Primarina, Dusclops, Ferrothorn
Coalossal, Weavile, Gastrodon-East, Togekiss, Duraludon, Dusclops
Liepard, Hatterene, Torkoal, Dhelmise, Primarina, Claydol
Machamp, Venusaur, Goodra, Duraludon, Lapras, Togekiss
Whimsicott, Lucario, Dracovish, Togekiss, Snorlax, Gallade
Snorlax, Ferrothorn, Dusclops, Milotic, Rhyperior, Togekiss
Inteleon, Coalossal, Vanilluxe, Rotom-Mow, Conkeldurr, Dusclops
Primarina, Corviknight, Arcanine, Tyranitar, Mimikyu, Rillaboom
Dragapult, Aegislash, Mimikyu, Rotom-Wash, Snorlax, Sylveon
Dragapult, Clefairy, Togekiss, Excadrill, Rotom-Wash, Incineroar
Rhyperior, Gyarados, Snorlax, Ferrothorn, Hydreigon, Togekiss
Dragapult, Clefairy, Togekiss, Excadrill, Rotom-Wash, Incineroar
Rhyperior, Gyarados, Snorlax, Ferrothorn, Hydreigon, Togekiss
Torkoal, Dracozolt, Ferrothorn, Dusclops, Togekiss, Tyranitar
Dusclops, Mimikyu, Dragapult, Arcanine, Ferrothorn, Primarina
Mimikyu, Milotic, Dracozolt, Ferrothorn, Togekiss, Arcanine
Duraludon, Whimsicott, Gastrodon, Conkeldurr, Chandelure, Goodra
Oranguru, Togekiss, Chandelure, Venusaur, Excadrill, Haxorus
Malamar, Eldegoss, Dracovish, Whimsicott, Clefable, Dragapult
Ninetales-Alola, Mudsdale, Arcanine, Togekiss, Dragapult, Ferrothorn
Duraludon, Togekiss, Conkeldurr, Whimsicott, Arcanine, Rotom-Wash
Dusclops, Mimikyu, Dragapult, Arcanine, Ferrothorn, Primarina
Dragapult, Togekiss, Ferrothorn, Lapras, Incineroar, Conkeldurr
Dragapult, Togekiss, Arcanine, Mimikyu, Rotom-Mow, Tyranitar
Dragapult, Milotic, Whimsicott, Sylveon, Duraludon, Conkeldurr
Blastoise, Arcanine, Kommo-o, Ferrothorn, Gengar, Raichu
Dusclops, Mimikyu, Reuniclus, Liepard, Togekiss, Rhyperior
Dracozolt, Incineroar, Primarina, Excadrill, Corviknight, Clefairy
Togekiss, Whimsicott, Gengar, Arcanine, Dracovish, Espeon
Whimsicott, Dragapult, Dracovish, Dracozolt, Darmanitan-Galar, Duraludon
Excadrill, Tyranitar, Grimmsnarl, Gastrodon, Milotic, Togetic
Duraludon, Toxtricity, Grimmsnarl, Gyarados, Conkeldurr, Chandelure
Tyranitar, Excadrill, Sigilyph, Whimsicott, Lapras, Incineroar
Snorlax, Togekiss, Durant, Incineroar, Dragapult, Rotom-Wash
Tyranitar, Whimsicott, Duraludon, Conkeldurr, Hatterene, Togekiss
Dracozolt, Hatterene, Conkeldurr, Aegislash, Milotic, Dusclops
Shedinja, Durant, Trevenant, Shuckle, Dragapult, Conkeldurr
Dragapult, Milotic, Clefairy, Charizard, Rillaboom, Excadrill
Hatterene, Incineroar, Venusaur, Conkeldurr, Dragapult, Liepard
Sableye, Charizard, Torkoal, Venusaur, Darmanitan-Galar, Conkeldurr
Whimsicott, Indeedee-F, Diggersby, Dracovish, Togekiss, Chandelure
Dragapult, Dusclops, Indeedee-F, Araquanid, Ferrothorn, Salazzle
Salazzle, Swoobat, Mimikyu, Primarina, Indeedee-F, Ferrothorn
Lapras, Raichu, Conkeldurr, Torracat, Hydreigon, Mimikyu
Rotom-Wash, Incineroar, Grimmsnarl, Dragapult, Excadrill, Passimian
Dragapult, Milotic, Clefairy, Charizard, Rillaboom, Excadrill
Hatterene, Incineroar, Venusaur, Conkeldurr, Dragapult, Liepard
Dragapult, Mamoswine, Togedemaru, Togekiss, Arcanine, Milotic
Lapras, Whimsicott, Conkeldurr, Chandelure, Sylveon, Ludicolo
Copperajah, Dusclops, Gothitelle, Centiskorch, Noivern, Primarina
Rotom-Wash, Incineroar, Grimmsnarl, Dragapult, Excadrill, Passimian
Dragapult, Milotic, Clefairy, Charizard, Rillaboom, Excadrill
Hatterene, Incineroar, Venusaur, Conkeldurr, Dragapult, Liepard
Togetic, Pikachu, Toxtricity, Pincurchin, Sirfetch'd, Grimmsnarl
Pikachu, Togekiss, Grimmsnarl, Dragapult, Mimikyu, Excadrill
Braviary, Dragapult, Weavile, Coalossal, Dusclops, Gastrodon
Rotom-Wash, Incineroar, Grimmsnarl, Dragapult, Excadrill, Passimian
Riolu, Drednaw, Bellossom, Togekiss, Hatterene, Rhydon
Rotom-Wash, Incineroar, Grimmsnarl, Dragapult, Excadrill, Passimian
Chandelure, Milotic, Sigilyph, Ninetales-Alola, Indeedee-F, Excadrill
Dracovish, Corviknight, Araquanid, Dragapult, Lapras, Arctovish
Salazzle, Swoobat, Mimikyu, Primarina, Indeedee-F, Ferrothorn
Whimsicott, Dusclops, Mudsdale, Araquanid, Torkoal, Conkeldurr
Pikachu, Gyarados, Excadrill, Tyranitar, Whimsicott, Togekiss
Rotom-Wash, Incineroar, Grimmsnarl, Dragapult, Excadrill, Passimian
Rhyperior, Hatterene, Indeedee-F, Dusclops, Incineroar, Mimikyu
Dracozolt, Hatterene, Conkeldurr, Aegislash, Milotic, Dusclops
Lapras, Dusclops, Conkeldurr, Tyranitar, Togekiss, Venusaur
Togekiss, Dragapult, Excadrill, Incineroar, Whimsicott, Rotom-Wash
Excadrill, Dragapult, Arcanine, Rotom-Wash, Togekiss, Tyranitar
Primarina, Mamoswine, Incineroar, Venusaur, Corviknight, Dracozolt
Incineroar, Togekiss, Excadrill, Tyranitar, Gourgeist-*, Primarina
Dracozolt, Passimian, Whimsicott, Togekiss, Darmanitan-Galar, Duraludon
Tyranitar, Excadrill, Rotom-Wash, Dragapult, Sylveon, Togekiss
Butterfree, Excadrill, Chandelure, Shiinotic, Togedemaru, Dracovish
Duraludon, Dragapult, Dracovish, Goodra, Whimsicott, Togekiss
Excadrill, Tyranitar, Togekiss, Primarina, Incineroar, Dusclops
Chandelure, Milotic, Sigilyph, Ninetales-Alola, Indeedee-F, Excadrill
Raichu, Lapras, Pelipper, Indeedee-F, Inteleon, Slurpuff
Lapras, Dusclops, Conkeldurr, Tyranitar, Togekiss, Venusaur
Togekiss, Dragapult, Excadrill, Incineroar, Whimsicott, Rotom-Wash
Dusclops, Milotic, Conkeldurr, Raichu, Gyarados, Arcanine
Duraludon, Dragapult, Dracovish, Goodra, Whimsicott, Togekiss
Dusclops, Lapras, Mamoswine, Indeedee-F, Togekiss, Hatterene
Rotom-Wash, Incineroar, Grimmsnarl, Dragapult, Excadrill, Passimian
Drifblim, Primarina, Dusclops, Whimsicott, Duraludon, Conkeldurr
Excadrill, Tyranitar, Indeedee-F, Grimmsnarl, Gyarados, Raichu
Cursola, Conkeldurr, Dusclops, Togekiss, Darmanitan-Galar, Tyranitar
Tyranitar, Excadrill, Dragapult, Whimsicott, Kingler, Togekiss
Duraludon, Dragapult, Dracovish, Goodra, Whimsicott, Togekiss
Hydreigon, Whimsicott, Conkeldurr, Rotom-Heat, Maractus, Lapras
Dracozolt, Incineroar, Corviknight, Primarina, Clefairy, Excadrill
Dragapult, Togekiss, Rotom-Wash, Incineroar, Sirfetch'd, Excadrill
Charizard, Whimsicott, Duraludon, Conkeldurr, Rotom-Wash, Togekiss
Rotom-Wash, Togekiss, Incineroar, Excadrill, Dragapult, Venusaur
Charizard, Mimikyu, Torkoal, Venusaur, Hawlucha, Lapras
Chandelure, Milotic, Sigilyph, Ninetales-Alola, Indeedee-F, Excadrill
Charizard, Whimsicott, Duraludon, Conkeldurr, Rotom-Wash, Togekiss
Rotom-Wash, Togekiss, Incineroar, Excadrill, Dragapult, Venusaur
Persian-Alola, Torkoal, Conkeldurr, Venusaur, Charizard, Gastrodon
Togekiss, Duraludon, Tyranitar, Arcanine, Meowstic, Tsareena
Conkeldurr, Incineroar, Vikavolt, Mudsdale, Sableye, Oranguru
Duraludon, Dragapult, Dracovish, Goodra, Whimsicott, Togekiss
Dragapult, Togekiss, Rotom-Wash, Incineroar, Sirfetch'd, Excadrill
Dracozolt, Incineroar, Corviknight, Primarina, Clefairy, Excadrill
Rotom-Wash, Excadrill, Tyranitar, Togekiss, Dragapult, Indeedee-F
Venusaur, Conkeldurr, Charizard, Sableye, Silvally-*, Rotom-Wash
Torkoal, Venusaur, Lapras, Grimmsnarl, Gothitelle, Conkeldurr
Jolteon, Flygon, Darmanitan-Galar, Sableye, Arcanine, Ludicolo
Rotom-Wash, Excadrill, Tyranitar, Togekiss, Dragapult, Indeedee-F
Venusaur, Conkeldurr, Charizard, Sableye, Silvally-*, Rotom-Wash
Tyranitar, Excadrill, Rotom-Wash, Dragapult, Sylveon, Togekiss
Hatterene, Dusclops, Rhyperior, Gastrodon, Toxtricity, Bisharp
Corviknight, Tyranitar, Sylveon, Incineroar, Gastrodon-East, Venusaur
Primarina, Dusclops, Tyranitar, Ferrothorn, Incineroar, Indeedee-F
Chandelure, Whimsicott, Dracovish, Braviary, Duraludon, Tsareena
Mandibuzz, Mudsdale, Dubwool, Togekiss, Indeedee-F, Espeon
Clefairy, Dragapult, Milotic, Incineroar, Bisharp, Mimikyu
Duraludon, Dragapult, Dracovish, Goodra, Whimsicott, Togekiss
Rotom-Wash, Excadrill, Tyranitar, Togekiss, Dragapult, Indeedee-F
Venusaur, Conkeldurr, Charizard, Sableye, Silvally-*, Rotom-Wash
Charizard, Whimsicott, Duraludon, Conkeldurr, Rotom-Wash, Togekiss
Rotom-Wash, Togekiss, Incineroar, Excadrill, Dragapult, Venusaur
Excadrill, Tyranitar, Togekiss, Primarina, Dusclops, Chandelure
Tyranitar, Excadrill, Togekiss, Dusclops, Primarina, Arctozolt
Malamar, Lapras, Whimsicott, Rotom-Heat, Sylveon, Diggersby
Sirfetch'd, Umbreon, Xatu, Togekiss, Grimmsnarl, Togetic
Incineroar, Butterfree, Darmanitan-Galar, Chandelure, Tyranitar, Milotic
Rotom-Wash, Incineroar, Grimmsnarl, Dragapult, Excadrill, Passimian
Ninetales-Alola, Mudsdale, Arcanine, Togekiss, Dragapult, Ferrothorn
Primarina, Corviknight, Arcanine, Tyranitar, Mimikyu, Rillaboom
Corviknight, Whimsicott, Rotom-Heat, Milotic, Excadrill, Gyarados
Excadrill, Tyranitar, Dragapult, Dusclops, Togekiss, Rotom-Wash
Dusclops, Tyranitar, Togekiss, Milotic, Conkeldurr, Togedemaru
Charizard, Torkoal, Gastrodon-East, Whimsicott, Venusaur, Excadrill
Swoobat, Dragapult, Drifblim, Silvally-*
Cramorant, Garbodor, Ferrothorn, Rapidash, Gastrodon-East, Grapploct
Durant, Grimmsnarl, Indeedee-F, Conkeldurr, Pelipper, Inteleon
Excadrill, Tyranitar, Togekiss, Primarina, Dusclops, Chandelure
Dusclops, Tyranitar, Togekiss, Milotic, Conkeldurr, Togedemaru
Toxtricity, Tyranitar, Gengar, Togekiss, Incineroar, Excadrill
Sirfetch'd, Umbreon, Xatu, Togekiss, Barbaracle, Grimmsnarl
Dracovish, Whimsicott, Rotom-Wash, Incineroar, Tyranitar, Dracozolt
Dragapult, Alcremie, Dracovish, Mimikyu, Sylveon, Conkeldurr
Gyarados, Dragapult, Blastoise, Raichu, Indeedee-F, Coalossal
Venusaur, Meowstic, Togekiss, Incineroar, Dracozolt, Milotic
Charizard, Tyranitar, Rotom-Wash, Clefairy, Whimsicott, Duraludon
Haxorus, Whimsicott, Braviary, Rotom-Mow, Incineroar, Tyranitar
Dragapult, Alcremie, Dracovish, Mimikyu, Sylveon, Conkeldurr
Venusaur, Meowstic, Togekiss, Incineroar, Dracozolt, Milotic
Charizard, Tyranitar, Rotom-Wash, Clefairy, Whimsicott, Duraludon
Venusaur, Meowstic, Togekiss, Incineroar, Dracozolt, Milotic
Charizard, Tyranitar, Rotom-Wash, Clefairy, Whimsicott, Duraludon
Durant, Passimian, Gengar, Togekiss, Incineroar, Rotom-Wash
Milotic, Torracat, Whimsicott, Excadrill, Tyranitar, Rotom-Mow
Diggersby, Clefairy, Milotic, Rillaboom, Chandelure, Togekiss
Tyranitar, Braviary, Dusclops, Togekiss, Conkeldurr, Primarina
Dragapult, Durant, Eldegoss, Rhyperior, Malamar, Grimmsnarl
Sirfetch'd, Drapion, Umbreon, Sigilyph, Xatu, Togekiss
Diggersby, Clefairy, Milotic, Rillaboom, Chandelure, Togekiss
Dragapult, Venusaur, Torkoal, Togekiss, Jellicent, Excadrill
Duraludon, Rotom-Wash, Incineroar, Conkeldurr, Grimmsnarl, Dragapult
Pelipper, Barraskewda, Gyarados, Raichu, Chandelure, Excadrill
Grimmsnarl, Arcanine, Gyarados, Excadrill, Milotic, Silvally-*
Dragapult, Venusaur, Torkoal, Togekiss, Jellicent, Excadrill
Tyranitar, Sylveon, Venusaur, Chandelure, Milotic, Excadrill
Ninetales-Alola, Mudsdale, Arcanine, Togekiss, Dragapult, Ferrothorn
Arcanine, Gengar, Persian-Alola, Excadrill, Primarina, Passimian
Haxorus, Lapras, Togekiss, Incineroar, Dusclops, Corviknight
Venusaur, Grimmsnarl, Torkoal, Ninetales, Sawk, Tyranitar
Pikachu, Bisharp, Togekiss, Primarina, Incineroar, Darmanitan-Galar
Seismitoad, Incineroar, Raichu, Pelipper, Corviknight, Shiinotic
Sableye, Lapras, Charizard, Indeedee-F, Sylveon, Conkeldurr
Tyranitar, Excadrill, Rotom-Wash, Dragapult, Sylveon, Togekiss
Tyranitar, Togekiss, Dusclops, Incineroar, Ferrothorn, Primarina
Togekiss, Dragapult, Lapras, Raichu, Ferrothorn, Incineroar
Torkoal, Venusaur, Mimikyu, Togekiss, Incineroar, Conkeldurr
Excadrill, Rotom-Heat, Corviknight, Grimmsnarl, Conkeldurr, Araquanid
Hawlucha, Dusclops, Vanilluxe, Excadrill, Togekiss, Dragapult
Roserade, Flapple, Rotom-Mow, Rillaboom, Ferrothorn, Trevenant
Duraludon, Rotom-Wash, Incineroar, Conkeldurr, Grimmsnarl, Dragapult
Tyranitar, Sylveon, Venusaur, Chandelure, Milotic, Excadrill
Ninetales-Alola, Mudsdale, Arcanine, Togekiss, Dragapult, Ferrothorn
Malamar, Eldegoss, Ribombee, Drampa, Bisharp, Xatu
Sirfetch'd, Drapion, Umbreon, Sigilyph, Xatu, Togekiss
Grimmsnarl, Eldegoss, Lapras, Dusclops, Hatterene, Togekiss
Haxorus, Lapras, Togekiss, Incineroar, Dusclops, Corviknight
Duraludon, Rotom-Wash, Incineroar, Conkeldurr, Grimmsnarl, Dragapult
Torkoal, Leafeon, Togedemaru, Togekiss, Blastoise, Persian-Alola
Ferrothorn, Arcanine, Hawlucha, Inteleon, Gastrodon, Grimmsnarl
Tyranitar, Corviknight, Gastrodon-East, Arcanine, Toxtricity-Low-Key, Grimmsnarl
